Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1954.38,-0.19,-0.21
1954.46,-0.20,-0.17
1954.54,-0.26,-0.18
1954.63,-0.17,-0.16
1954.71,-0.16,-0.09
1954.79,0.00,-0.04
1954.88,0.17,0.06
1954.96,-0.12,-0.21
1955.04,0.22,0.14
1955.13,-0.10,-0.17
1955.21,-0.39,-0.34
1955.29,-0.18,-0.21
1955.38,-0.17,-0.20
1955.46,-0.18,-0.11
1955.54,-0.17,-0.12
1955.63,0.10,0.01
1955.71,-0.11,-0.11
1955.79,0.01,-0.05
1955.88,-0.25,-0.24
1955.96,-0.31,-0.30
1956.04,-0.23,-0.16
1956.13,-0.31,-0.26
1956.21,-0.33,-0.23
1956.29,-0.24,-0.27
1956.38,-0.29,-0.31
1956.46,-0.10,-0.16
1956.54,-0.11,-0.12
1956.63,-0.31,-0.26
1956.71,-0.14,-0.20
1956.79,-0.24,-0.24
1956.88,-0.23,-0.17
1956.96,-0.19,-0.07
1957.04,-0.14,-0.11
1957.13,-0.05,-0.04
1957.21,-0.08,-0.06
1957.29,0.01,0.00
1957.38,0.01,0.09
1957.46,0.15,0.17
1957.54,-0.10,0.01
1957.63,0.14,0.15
1957.71,0.11,0.10
1957.79,0.01,0.02
1957.88,0.14,0.07
1957.96,0.21,0.16
1958.04,0.43,0.40
1958.13,0.25,0.24
